access,address,band,barrier_free,budget,budget_memo,capacity,card,catch,charter,child,close,coupon_urls,course,english,free_drink,free_food,genre,horigotatsu,id,karaoke,ktai_coupon,large_area,large_service_area,lat,lng,logo_image,lunch,middle_area,midnight,mobile_access,name,name_kana,non_smoking,open,other_memo,parking,party_capacity,pet,photo,private_room,service_area,shop_detail_memo,show,small_area,station_name,tatami,tv,urls,wedding,wifi,sub_genre
那覇市国際通り。牧志交番斜め向かい。牧志駅徒歩2分。,沖縄県那覇市牧志２－６－２　PIER88ビル　２F,不可,なし,"{'average': '昼1000円\u3000夜3000円', 'code': 'B002', 'name': '2001～3000円'}",キャンセルは(当日15:00迄に連絡下さい)キャンセル料1名/1100円,62,利用可,人気! サーロインステーキ 大人気！串カツ盛り合わせ,貸切不可 ：４０名から,お子様連れ歓迎 ：座敷、個室あり,不定休,"{'pc': 'https://www.hotpepper.jp/strJ001009934/map/?vos=nhppalsa000016', 'sp': 'https://www.hotpepper.jp/strJ001009934/scoupon/?vos=nhppalsa000016'}",あり,あり,あり ：たっぷり90分　飲み放題1333円1466円（税込),あり ：時間無制限　食べ飲み放題2500円(税込み2750円),"{'catch': '沖縄料理ステーキ海鮮アグー豚食べ飲み放題', 'code': 'G001', 'name': '居酒屋'}",なし,J001009934,なし,0,"{'code': 'Z098', 'name': '沖縄'}","{'code': 'SS90', 'name': '九州・沖縄'}",26.2174348797,127.6904419852,https://imgfp.hotp.jp/IMGH/88/39/P038298839/P038298839_69.jpg,あり,"{'code': 'Y961', 'name': '那覇'}",営業していない,那覇市国際通り｡牧志交番斜め向かい｡牧志駅徒歩2分,ステーキ&グリル パイレーツ,すてーきあんどぐりる　ぱいれーつ,全面禁煙,月～日、祝日、祝前日: 11:00～16:00 （料理L.O. 14:00 ドリンクL.O. 14:00）17:10～23:00 （料理L.O. 22:00 ドリンクL.O. 22:00）,店舗裏にコインパーキングあり,なし ：店舗裏にコインパーキングあり,62,不可,"{'mobile': {'l': 'https://imgfp.hotp.jp/IMGH/55/58/P038435558/P038435558_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/55/58/P038435558/P038435558_100.jpg'}, 'pc': {'l': 'https://imgfp.hotp.jp/IMGH/55/58/P038435558/P038435558_238.jpg', 'm': 'https://imgfp.hotp.jp/IMGH/55/58/P038435558/P038435558_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/55/58/P038435558/P038435558_58_s.jpg'}}",なし,"{'code': 'SA98', 'name': '沖縄'}",お祝いのケーキ、花束など(持ち込みOK)お預かりします。,なし,"{'code': 'X114', 'name': '国際通り'}",牧志,なし,あり,{'pc': 'https://www.hotpepper.jp/strJ001009934/?vos=nhppalsa000016'},新年会、忘年会、送別会、歓迎会、女子会、男子会、合コン、家族、などに!,あり,
ゆいレール県庁前駅より徒歩5分　国際通り沿い　ホテル国際プラザ様の2F【沖縄 那覇 国際通り 居酒屋 ステーキ】,沖縄県那覇市松尾１-4-10　ホテル国際プラザ２F,不可,なし,"{'average': '2500円（飲放付コース3000円～）', 'code': 'B002', 'name': '2001～3000円'}",PayPayつかえます!お通し代500円（税込）,78,利用可,☆こだわりの沖縄料理☆ ★2名～最大30名★個室有,貸切可 ：フロア貸切宴会可能です!!詳しくはお店までお問い合わせ下さい。,お子様連れ歓迎,※年末年始も休まず営業しております！※10：00～16：00はコールセンターにてお電話を受け付けております。,"{'pc': 'https://www.hotpepper.jp/strJ001036762/map/?vos=nhppalsa000016', 'sp': 'https://www.hotpepper.jp/strJ001036762/scoupon/?vos=nhppalsa000016'}",あり,あり,あり ：全コース飲み放題付でご用意可能!!アラカルト飲み放題もあり♪プランアップで種類豊富◎,あり,"{'catch': 'あぐー豚をはじめとした沖縄料理が楽しめる', 'code': 'G001', 'name': '居酒屋'}",なし,J001036762,なし,1,"{'code': 'Z098', 'name': '沖縄'}","{'code': 'SS90', 'name': '九州・沖縄'}",26.2147128514,127.6836620568,https://imgfp.hotp.jp/IMGH/00/41/P036380041/P036380041_69.jpg,なし,"{'code': 'Y961', 'name': '那覇'}",営業している,国際通り沿い ﾎﾃﾙ国際ﾌﾟﾗｻﾞ様の2F,ちゅらちゅら 那覇国際通り店,やきにくすてーきしゃぶしゃぶこしつおきなわりょうりいざかや　ちゅらちゅらなはこくさいどおりてん,禁煙席なし,月～日、祝日、祝前日: 16:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,,なし ：お近くのコインパーキングをご利用ください。お酒を飲まれる際はお車でのお越しはご遠慮ください。,40,不可,"{'mobile': {'l': 'https://imgfp.hotp.jp/IMGH/91/04/P036459104/P036459104_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/91/04/P036459104/P036459104_100.jpg'}, 'pc': {'l': 'https://imgfp.hotp.jp/IMGH/91/04/P036459104/P036459104_238.jpg', 'm': 'https://imgfp.hotp.jp/IMGH/91/04/P036459104/P036459104_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/91/04/P036459104/P036459104_58_s.jpg'}}",あり ：テーブル式の半個室/完全個室あり　2名様～最大26名様まで対応,"{'code': 'SA98', 'name': '沖縄'}",お昼の宴会や営業時間外のご予約も可能!!まずはお電話にてご相談ください。ご対応いたします。,なし,"{'code': 'X114', 'name': '国際通り'}",県庁前,なし,なし,{'pc': 'https://www.hotpepper.jp/strJ001036762/?vos=nhppalsa000016'},営業時間外の2次会利用等可能です。ご希望に応じてケーキもご用意★,あり,"{'code': 'G008', 'name': '焼肉・ホルモン'}"
ゆいレール おもろまち駅 徒歩5分 ,沖縄県那覇市おもろまち４-6-17 おもろパークテラス　2F,不可,なし,"{'average': '2500円～3500円', 'code': 'B002', 'name': '2001～3000円'}",テーブルチャージ　400円,32,利用可,バルコラボのコース料理！ 誕生日・記念日に！,貸切可 ：20名様～貸切OK　着席:25名様まで,お子様連れOK,なし,"{'pc': 'https://www.hotpepper.jp/strJ001133949/map/?vos=nhppalsa000016', 'sp': 'https://www.hotpepper.jp/strJ001133949/scoupon/?vos=nhppalsa000016'}",あり,あり,あり ：単品飲み放題3時間1500円～！,なし,"{'catch': '肉バル\u3000居酒屋\u3000個室\u3000飲み放題\u3000牛カツ', 'code': 'G001', 'name': '居酒屋'}",なし,J001133949,なし,0,"{'code': 'Z098', 'name': '沖縄'}","{'code': 'SS90', 'name': '九州・沖縄'}",26.2273755787,127.6958641331,https://imgfp.hotp.jp/IMGH/90/86/P037249086/P037249086_69.jpg,あり,"{'code': 'Y961', 'name': '那覇'}",営業している,ゆいﾚｰﾙ おもろまち駅 徒歩5分 ,バルコラボ 那覇新都心,ばるこらぼなはしんとしん,全面禁煙,月～日、祝日、祝前日: 11:30～15:00 （料理L.O. 14:00 ドリンクL.O. 14:30）17:00～翌3:00 （料理L.O. 翌2:00 ドリンクL.O. 翌2:30）,,なし,40,不可,"{'mobile': {'l': 'https://imgfp.hotp.jp/IMGH/48/76/P039434876/P039434876_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/48/76/P039434876/P039434876_100.jpg'}, 'pc': {'l': 'https://imgfp.hotp.jp/IMGH/48/76/P039434876/P039434876_238.jpg', 'm': 'https://imgfp.hotp.jp/IMGH/48/76/P039434876/P039434876_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/48/76/P039434876/P039434876_58_s.jpg'}}",あり ：完全個室　2名様～ご利用可,"{'code': 'SA98', 'name': '沖縄'}",貸切プランもご用意しております！25名様～最大45名様までOK！,なし,"{'code': 'X717', 'name': '新都心'}",おもろまち,なし,あり,{'pc': 'https://www.hotpepper.jp/strJ001133949/?vos=nhppalsa000016'},お任せください！プロジェクター・マイク・DJブースなど貸切に欠かせない設備あり,あり,"{'code': 'G002', 'name': 'ダイニングバー・バル'}"
【久茂地】沖縄銀行本店裏手、ゆいレール「県庁前駅」徒歩4分,沖縄県那覇市久茂地３-12-1 第一久茂地ビル1F,不可,なし ：お手伝いいたしますので、ご相談ください。,"{'average': '5000円～6000円', 'code': 'B004', 'name': '5001～7000円'}",,42,利用可,少人数から使える完全個室,貸切可 ：28名様 ～40名様でご相談承ります。,お子様連れOK,なし　【各種ご宴会のご予約承っております。少人数個室～団体様まで対応可能。お気軽にお問い合わせください。】,"{'pc': 'https://www.hotpepper.jp/strJ001147269/map/?vos=nhppalsa000016', 'sp': 'https://www.hotpepper.jp/strJ001147269/scoupon/?vos=nhppalsa000016'}",あり,なし,あり ：飲み放題付ご宴会コース有り。,なし,"{'catch': '新鮮な霜降り馬・牛・豚・鶏・山羊・魚を！', 'code': 'G001', 'name': '居酒屋'}",あり,J001147269,なし,0,"{'code': 'Z098', 'name': '沖縄'}","{'code': 'SS90', 'name': '九州・沖縄'}",26.2150975066,127.6816641665,https://imgfp.hotp.jp/IMGH/61/77/P039136177/P039136177_69.jpg,なし,"{'code': 'Y961', 'name': '那覇'}",営業している,【久茂地】沖縄銀行本店裏手､｢県庁前駅｣徒歩4分,肉割烹 にく久,にくかっぽう　にくきゅう,全面禁煙,月～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）,,あり ：近くに有料パーキング有り。,40,不可,"{'mobile': {'l': 'https://imgfp.hotp.jp/IMGH/92/30/P029009230/P029009230_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/92/30/P029009230/P029009230_100.jpg'}, 'pc': {'l': 'https://imgfp.hotp.jp/IMGH/92/30/P029009230/P029009230_238.jpg', 'm': 'https://imgfp.hotp.jp/IMGH/92/30/P029009230/P029009230_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/92/30/P029009230/P029009230_58_s.jpg'}}",あり ：2名様～28名様まで完全個室をご用意。掘りごたつ式座席、テーブル席,"{'code': 'SA98', 'name': '沖縄'}",,なし,"{'code': 'XX00', 'name': '久茂地'}",県庁前,あり,なし,{'pc': 'https://www.hotpepper.jp/strJ001147269/?vos=nhppalsa000016'},,未確認,"{'code': 'G004', 'name': '和食'}"
R58松山交差点より松山へ。2つ目のブロックを右に50メートル進み、右手。,沖縄県那覇市松山２-10-13,不可,なし,"{'average': '夜4,000円～6,000円', 'code': 'B004', 'name': '5001～7000円'}",,54,利用可,【安全おいしい生肉】 アニバーサリーデザート,貸切可 ：最大70名様くらいまで可能です。,お子様連れ歓迎 ：ソファー席なのでファミリーでゆったりお寛ぎいただけます。,☆17時より営業開始となります。テイクアウトも行っておりますのでお気軽にご利用くださいませ,"{'pc': 'https://www.hotpepper.jp/strJ001227191/map/?vos=nhppalsa000016', 'sp': 'https://www.hotpepper.jp/strJ001227191/scoupon/?vos=nhppalsa000016'}",あり,あり,"あり ：コース金額プラス2,000円でご用意しています。",なし ：食べ放題はありませんがコースはご用意しております。,"{'catch': 'こだわり食材・空間を提供する焼肉屋', 'code': 'G008', 'name': '焼肉・ホルモン'}",なし,J001227191,なし,0,"{'code': 'Z098', 'name': '沖縄'}","{'code': 'SS90', 'name': '九州・沖縄'}",26.2196614608,127.6807325046,https://imgfp.hotp.jp/IMGH/39/25/P033883925/P033883925_69.jpg,なし,"{'code': 'Y961', 'name': '那覇'}",営業していない,松山交差点から松山へ入り2つ目のﾌﾞﾛｯｸを右へ50m.,焼肉レストラン ロインズ 松山店,やきにくれすとらんろいんず,一部禁煙,月～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,中国語メニュー、韓国語メニューもご用意しています。,なし ：近隣コインパーキング多数あり,70,不可,"{'mobile': {'l': 'https://imgfp.hotp.jp/IMGH/88/94/P037488894/P037488894_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/88/94/P037488894/P037488894_100.jpg'}, 'pc': {'l': 'https://imgfp.hotp.jp/IMGH/88/94/P037488894/P037488894_238.jpg', 'm': 'https://imgfp.hotp.jp/IMGH/88/94/P037488894/P037488894_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/88/94/P037488894/P037488894_58_s.jpg'}}",あり ：10名席の完全個室がございます。,"{'code': 'SA98', 'name': '沖縄'}",,なし,"{'code': 'X716', 'name': '那覇松山・若狭'}",美栄橋,なし,なし,{'pc': 'https://www.hotpepper.jp/strJ001227191/?vos=nhppalsa000016'},ラグジュアリな店内は特別な日にぴったり！お気軽にご相談ください。,あり,"{'code': 'G017', 'name': '韓国料理'}"
バイパス330号線、宜野湾小学校隣。ブランコが目印★駐車場完備。 第2、第3駐車場あります！,沖縄県宜野湾市愛知１‐5‐13,不可,なし,"{'average': '3000円', 'code': 'B002', 'name': '2001～3000円'}",チャージ料450円（税込）,150,利用可,飲み放120分1450→1078円 ご予約はお早目に,貸切不可 ：150名までの団体貸切可能！ご利用お待ちしております♪,お子様連れ歓迎,毎日お休みなしであいてまーす★,"{'pc': 'https://www.hotpepper.jp/strJ001161931/map/?vos=nhppalsa000016', 'sp': 'https://www.hotpepper.jp/strJ001161931/scoupon/?vos=nhppalsa000016'}",あり,なし,あり ：2時間飲み放題1450円（税込）,なし,"{'catch': '宜野湾の遊び心溢れる創作居酒屋', 'code': 'G001', 'name': '居酒屋'}",なし ：10名の掘りごたつあり,J001161931,なし,0,"{'code': 'Z098', 'name': '沖縄'}","{'code': 'SS90', 'name': '九州・沖縄'}",26.2691019036,127.7680044687,https://imgfp.hotp.jp/IMGH/67/82/P037666782/P037666782_69.jpg,なし,"{'code': 'Y965', 'name': '読谷･北谷･宜野湾･浦添･嘉手納'}",営業している,大きな看板とﾌﾞﾗﾝｺが目印☆,居酒家 ぶらんこ,いざかや　ぶらんこ,全面禁煙,月～木、日、祝日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）金、土、祝前日: 17:00～翌1:00 （料理L.O. 翌0:00 ドリンクL.O. 翌0:30）,,あり ：第2、第3駐車場もあります。,30,不可,"{'mobile': {'l': 'https://imgfp.hotp.jp/IMGH/90/32/P033469032/P033469032_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/90/32/P033469032/P033469032_100.jpg'}, 'pc': {'l': 'https://imgfp.hotp.jp/IMGH/90/32/P033469032/P033469032_238.jpg', 'm': 'https://imgfp.hotp.jp/IMGH/90/32/P033469032/P033469032_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/90/32/P033469032/P033469032_58_s.jpg'}}",あり ：10名席の個室あります,"{'code': 'SA98', 'name': '沖縄'}",,なし,"{'code': 'XX0B', 'name': '宜野湾市'}",,あり,なし,{'pc': 'https://www.hotpepper.jp/strJ001161931/?vos=nhppalsa000016'},※大歓迎！！遊び心たっぷりでおもてなしさせていただきます♪,あり,"{'code': 'G001', 'name': '居酒屋'}"
久茂地川沿い、ゆいレール県庁前駅徒歩3分,沖縄県那覇市久茂地２－６－１６　１F,不可,なし ：お手伝いなどございましたら、ご相談ください。,"{'average': '5,000円', 'code': 'B004', 'name': '5001～7000円'}",,83,利用可,【完全個室】 アニバーサリーデザート,貸切可 ：平日約50名様～要相談。週末に関しても、店舗までお気軽にご相談下さい♪,お子様連れ歓迎 ：2名様～ご利用いただける個室もございます。ご希望はお気軽にご相談ください。,※ロインズ松山店　2/21日から営業を再開致します。,"{'pc': 'https://www.hotpepper.jp/strJ001026412/map/?vos=nhppalsa000016', 'sp': 'https://www.hotpepper.jp/strJ001026412/scoupon/?vos=nhppalsa000016'}",あり,あり,あり,なし,"{'catch': 'こだわり食材・空間を提供する焼肉屋', 'code': 'G008', 'name': '焼肉・ホルモン'}",あり ：最大16名様用の個室もございます。,J001026412,なし,0,"{'code': 'Z098', 'name': '沖縄'}","{'code': 'SS90', 'name': '九州・沖縄'}",26.2166103949,127.6810025317,https://imgfp.hotp.jp/IMGH/48/80/P032984880/P032984880_69.jpg,なし,"{'code': 'Y961', 'name': '那覇'}",営業していない,久茂地川沿い､ゆいﾚｰﾙ県庁前駅徒歩3分,焼肉レストラン ロインズ ROINS 久茂地店,やきにくれすとらんろいんず　くもじてん,一部禁煙,月～日、祝日、祝前日: 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:00）,ハワイアンミュージックが流れる店内は、接待や食事会にもご利用いただけます。,なし ：近くにコインパーキングあり。,83,不可,"{'mobile': {'l': 'https://imgfp.hotp.jp/IMGH/56/80/P035895680/P035895680_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/56/80/P035895680/P035895680_100.jpg'}, 'pc': {'l': 'https://imgfp.hotp.jp/IMGH/56/80/P035895680/P035895680_238.jpg', 'm': 'https://imgfp.hotp.jp/IMGH/56/80/P035895680/P035895680_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/56/80/P035895680/P035895680_58_s.jpg'}}",あり ：【2名×1】【4名×3】【6名×1】【8名×1】⇒6名個室＋8名個室で14名個室も対応！様々なシーンにご対応☆,"{'code': 'SA98', 'name': '沖縄'}",誕生日、記念日のご利用も歓迎。メッセージ付きデザートプレートご用意可能です。,なし,"{'code': 'XX00', 'name': '久茂地'}",県庁前,なし ：最大16名様用の座敷あり。,なし,{'pc': 'https://www.hotpepper.jp/strJ001026412/?vos=nhppalsa000016'},30名様～貸切相談承ります。お店にご連絡ください。,あり,"{'code': 'G017', 'name': '韓国料理'}"
地下鉄新瑞橋駅4番出口徒歩1分駅近アクセス◎新瑞橋の居酒屋で宴会なら芋んちゅへ,愛知県名古屋市瑞穂区洲山町２－３－１　フェニックス新瑞１Ｆ２Ｆ,不可,なし ：芋んちゅ新瑞橋店のスタッフ一同全力でサポートさせて頂きます。,"{'average': '通常平均2500円\u3000宴会平均3000円', 'code': 'B002', 'name': '2001～3000円'}",席料330円,110,利用可,感染防止対策実施中!! カウンターあります！,貸切可 ：新瑞橋で貸切最大100名様までOKのお座敷あり◎宴会コースも多種多様にご用意！お気軽にご相談ください。,お子様連れOK ：各種個室などゆったりしたお席のご用意しておりますので、安心してご利用頂けます。【新瑞橋/居酒屋/個室】,不定休,"{'pc': 'https://www.hotpepper.jp/strJ000022969/map/?vos=nhppalsa000016', 'sp': 'https://www.hotpepper.jp/strJ000022969/scoupon/?vos=nhppalsa000016'}",あり,なし,あり ：60種以上とドリンクの種類も豊富です★,なし ：食べ放題コースはございませんが、各種宴会コースをご用意しております。九州・沖縄料理を堪能出来るコース,"{'catch': '新瑞橋 居酒屋 飲み放題 デート 沖縄料理', 'code': 'G001', 'name': '居酒屋'}",あり ：4名様～掘りごたつ個室などさまざまなお席をご用意しております。お気軽にご相談ください。,J000022969,なし,0,"{'code': 'Z033', 'name': '愛知'}","{'code': 'SS30', 'name': '東海'}",35.1181982603,136.9376389711,https://imgfp.hotp.jp/IMGH/21/00/P010702100/P010702100_69.jpg,なし,"{'code': 'Y221', 'name': '緑区・南区・天白区・瑞穂区'}",営業していない,地下鉄新瑞橋駅4番出口徒歩1分 芋んちゅ 新瑞橋店,芋んちゅ 新瑞橋店,いもんちゅ　あらたまばしてん,全面禁煙,月～日、祝日、祝前日: 16:00～23:00 （料理L.O. 22:30 ドリンクL.O. 22:30）,人気の足湯設備あり◎お気軽にお問い合わせください。※ご予約をオススメ致します。,なし ：芋んちゅ新瑞橋店は駐車場がございません。近隣のコインパーキングをご利用ください。,50,不可,"{'mobile': {'l': 'https://imgfp.hotp.jp/IMGH/39/80/P039173980/P039173980_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/39/80/P039173980/P039173980_100.jpg'}, 'pc': {'l': 'https://imgfp.hotp.jp/IMGH/39/80/P039173980/P039173980_238.jpg', 'm': 'https://imgfp.hotp.jp/IMGH/39/80/P039173980/P039173980_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/39/80/P039173980/P039173980_58_s.jpg'}}",あり ：新瑞橋店では、2名様～貸切100名様までのさまざまな個室をご用意しております。お気軽にご相談ください。,"{'code': 'SA33', 'name': '愛知'}",宴会コースの他にお客様の予算や希望に合わせて、コース内容の変更も承ります！お気軽にお問合わせ下さい！,なし,"{'code': 'XHJ5', 'name': '新瑞橋'}",新瑞橋,あり ：新瑞橋店は、2名様～貸切100名様までのさまざまなお席をご用意しております。お気軽にご相談ください。,なし,{'pc': 'https://www.hotpepper.jp/strJ000022969/?vos=nhppalsa000016'},お気軽にご相談ください。,なし,"{'code': 'G004', 'name': '和食'}"
R58松山交差点ローソン2F,沖縄県那覇市松山２－１－１８　住太郎ビル２F,不可,なし,"{'average': '2500円', 'code': 'B002', 'name': '2001～3000円'}",お通し代385円（税込）,78,利用可,直釣り！直入荷の鮮魚！ 全席個室！カウンター席有,貸切不可,お子様連れ不可 ：喫煙可能店です。,不定休,"{'pc': 'https://www.hotpepper.jp/strJ001018884/map/?vos=nhppalsa000016', 'sp': 'https://www.hotpepper.jp/strJ001018884/scoupon/?vos=nhppalsa000016'}",あり,なし,なし,なし,"{'catch': '◆個室・肉料理・焼酎◆和風居酒屋◆', 'code': 'G001', 'name': '居酒屋'}",なし,J001018884,なし,0,"{'code': 'Z098', 'name': '沖縄'}","{'code': 'SS90', 'name': '九州・沖縄'}",26.2185129681,127.6805980906,https://imgfp.hotp.jp/IMGH/26/71/P035552671/P035552671_69.jpg,なし,"{'code': 'Y961', 'name': '那覇'}",営業している,R58松山交差点ﾛｰｿﾝ2F,和琉炭焼 石庭,わりゅうすみやき　せきてい,禁煙席なし,月～日、祝日、祝前日: 18:00～翌9:00 （料理L.O. 翌8:00 ドリンクL.O. 翌8:30）,プロジェクターあります。,なし ：近くにコインパーキング有,24,不可,"{'mobile': {'l': 'https://imgfp.hotp.jp/IMGH/56/68/P021815668/P021815668_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/56/68/P021815668/P021815668_100.jpg'}, 'pc': {'l': 'https://imgfp.hotp.jp/IMGH/56/68/P021815668/P021815668_238.jpg', 'm': 'https://imgfp.hotp.jp/IMGH/56/68/P021815668/P021815668_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/56/68/P021815668/P021815668_58_s.jpg'}}",あり ：2名様、4名様、6名様、20名様,"{'code': 'SA98', 'name': '沖縄'}",,なし,"{'code': 'X716', 'name': '那覇松山・若狭'}",美栄橋,なし,あり,{'pc': 'https://www.hotpepper.jp/strJ001018884/?vos=nhppalsa000016'},お店までご相談ください。,なし,"{'code': 'G003', 'name': '創作料理'}"
国際通り県庁側入口から徒歩１分。モノレール「県庁前」より徒歩３分。 わしたショップ本店左斜め向いビル地下1階です。,沖縄県那覇市松尾１－３－１　エスプリコート　B１階,不可,なし ：※お手伝いが必要な際はお気軽にお申し付け下さい。,"{'average': '3000円', 'code': 'B002', 'name': '2001～3000円'}",お通し代380円,50,利用可,沖縄料理を堪能♪ 大衆酒場風の賑やかなお店,貸切可 ：最大50名様まで収容可能！！,お子様連れOK ：ご家族での来店も大歓迎です！,年中無休台風でも大雨でも営業!!!,"{'pc': 'https://www.hotpepper.jp/strJ001170477/map/?vos=nhppalsa000016', 'sp': 'https://www.hotpepper.jp/strJ001170477/scoupon/?vos=nhppalsa000016'}",あり,なし,あり ：単品飲み放題2時間1500円～！,あり ：【お手軽うちな～コース】2時間飲み放題付き！クーポン利用で3480⇒2980円！！,"{'catch': 'アグー豚のしゃぶしゃぶと県産島刺し盛り', 'code': 'G001', 'name': '居酒屋'}",なし,J001170477,なし,1,"{'code': 'Z098', 'name': '沖縄'}","{'code': 'SS90', 'name': '九州・沖縄'}",26.2140276241,127.682079704,https://imgfp.hotp.jp/IMGH/89/74/P027328974/P027328974_69.jpg,なし,"{'code': 'Y961', 'name': '那覇'}",営業している,わしたｼｮｯﾌﾟ本店左斜め向いﾋﾞﾙ地下1階です｡,琉球酒場 まーさんの家,りゅうきゅうさかば　まーさんのいえ,禁煙席なし,月～日: 17:30～翌1:00,※ご不明な点等ございましたら、お気軽にお店までお問い合わせご相談下さい！,なし,50,不可,"{'mobile': {'l': 'https://imgfp.hotp.jp/IMGH/66/01/P039406601/P039406601_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/66/01/P039406601/P039406601_100.jpg'}, 'pc': {'l': 'https://imgfp.hotp.jp/IMGH/66/01/P039406601/P039406601_238.jpg', 'm': 'https://imgfp.hotp.jp/IMGH/66/01/P039406601/P039406601_168.jpg', 's': 'https://imgfp.hotp.jp/IMGH/66/01/P039406601/P039406601_58_s.jpg'}}",あり ：個室席はございません。,"{'code': 'SA98', 'name': '沖縄'}",※ご不明な点等ございましたら、お気軽にお店までお問い合わせご相談下さい！,なし,"{'code': 'X114', 'name': '国際通り'}",県庁前,あり ：小さなお子様連れでも安心です。,なし,{'pc': 'https://www.hotpepper.jp/strJ001170477/?vos=nhppalsa000016'},※忘新年会、歓送迎会、各種宴会、模合、2次会利用など…お気軽にご相談ください！,なし,"{'code': 'G001', 'name': '居酒屋'}"
